time_seconds,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,CG1,CG2,CG3,CG4,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9,AH10,PH1,PH2,PH3,PH4,BO1,BO2,BO3,BO4
0.0200,5276919.0000,5184939.0000,4505988.5000,-4771756.5000,-4595772.0000,-2735969.5000,2197983.5000,-1784269.5000,-3087407.2500,492366.9375,-144580.8594,1381860.7500,6347714.0000,3571834.0000,-3113991.0000,-2107528.5000,-5262493.5000,1594531.1250,3536743.5000,-1203679.3750,2934886.2500,-8842799.0000,-1966102.6250,3007194.2500,8973662.0000,-2699283.7500,5256715.0000,3917423.5000,7787492.5000,-1255251.8750,6784752.0000,3484639.2500,-44625.7812,-5394881.0000,-5697404.5000,4412413.5000,-4927537.5000,-1686441.1250,-3696176.2500,2613754.0000,-7077103.5000,-2188875.0000,1270208.8750,1869407.6250,2143752.5000,-4004016.5000,-1203147.6250,-618304.1250,-4836089.5000,-3962545.7500,6984662.0000,353599.5000,-4689878.5000,843804.7500,5528401.5000,1651420.5000,-4269323.0000,5193977.5000,865071.7500,8955053.0000,-4940298.0000,58519.3555,-6994162.0000,4961103.5000,-2218117.0000,-5759610.5000,-8921487.0000,6098890.0000,-124908.8516,5039259.5000
0.0220,5237575.0000,5144000.0000,4466113.0000,-4810569.0000,-4643622.5000,-2780098.5000,2147474.2500,-1827335.2500,-3120902.7500,440262.6875,-191900.0156,1332414.8750,6300395.0000,3520793.2500,-3157588.5000,-2152189.2500,-5311939.5000,1544553.6250,3485702.5000,-1243023.3750,2898200.5000,-8889055.0000,-2003851.6250,2967318.5000,8926874.0000,-2732779.5000,5218966.0000,3871699.2500,7736452.0000,-1289810.8750,6752851.0000,3453270.2500,-95666.6719,-5438478.5000,-5739407.0000,4370411.5000,-4969540.0000,-1714620.0000,-3725418.5000,2579726.7500,-7125486.0000,-2248954.2500,1222358.0000,1832190.3750,2106003.5000,-4039638.7500,-1237706.6250,-656053.1250,-4875965.0000,-4002953.2500,6946381.5000,315318.8438,-4732412.5000,800207.3125,5485336.0000,1608886.3750,-4312920.5000,5152506.5000,833702.8750,8908797.0000,-4982832.0000,15985.2783,-7045734.5000,4923886.0000,-2258524.5000,-5801613.0000,-8976782.0000,6084003.0000,-160531.1406,4998320.5000
0.0240,5270538.5000,5177495.5000,4503862.0000,-4779732.0000,-4609064.0000,-2741817.7500,2178843.0000,-1785864.5000,-3075710.2500,473226.5938,-159999.4688,1368568.8750,6329105.5000,3549503.7500,-3118776.0000,-2112313.5000,-5278444.0000,1582834.2500,3516539.7500,-1204211.0000,2942329.7500,-8848116.0000,-1956000.8750,3011979.2500,8958243.0000,-2695562.0000,5261500.0000,3912106.7500,7768352.5000,-1241428.3750,6802829.0000,3485702.5000,-68551.1953,-5400197.5000,-5699531.0000,4414540.5000,-4920094.0000,-1660389.0000,-3672782.5000,2617475.7500,-7086142.0000,-2221307.0000,1259043.6250,1880041.1250,2152259.2500,-3992319.7500,-1195172.5000,-616177.4375,-4832367.5000,-3957229.0000,6992105.5000,355194.5312,-4694132.0000,838488.0000,5522021.5000,1646635.3750,-4271449.5000,5190255.5000,882617.0625,8946546.0000,-4943488.0000,60646.0586,-7008517.5000,4963761.5000,-2221307.0000,-5761737.5000,-8933184.0000,6139297.0000,-128098.9062,5030221.0000
0.0260,5246613.5000,5156228.5000,4487380.0000,-4800467.0000,-4630862.5000,-2758299.7500,2162361.0000,-1797561.3750,-3092192.2500,453022.9062,-182329.8438,1348896.8750,6305712.0000,3533021.7500,-3132599.7500,-2126137.0000,-5306091.0000,1562630.6250,3494209.2500,-1216971.2500,2930632.7500,-8860345.0000,-1962912.6250,3004004.0000,8934849.0000,-2721082.5000,5246613.5000,3899878.0000,7751870.5000,-1244086.7500,6802297.0000,3472410.7500,-91944.9375,-5425186.5000,-5718140.0000,4401780.0000,-4925411.0000,-1655072.2500,-3671719.0000,2595145.2500,-7098902.5000,-2247891.0000,1237776.6250,1870471.0000,2145347.5000,-4006143.2500,-1204211.0000,-625215.9375,-4845128.0000,-3967862.5000,6979345.0000,341370.9688,-4702107.0000,824664.3750,5509793.0000,1633875.2500,-4283678.0000,5176432.0000,879427.0000,8925279.0000,-4956248.0000,47354.1602,-7018087.5000,4951533.0000,-2233004.0000,-5772371.0000,-8909791.0000,6148335.5000,-129693.9297,5019056.0000
0.0280,5226941.5000,5139746.5000,4473556.5000,-4815354.0000,-4651066.0000,-2773718.5000,2157044.2500,-1805536.5000,-3109737.7500,433882.5625,-199343.4844,1327098.1250,6288166.5000,3519729.7500,-3137916.5000,-2137302.2500,-5328953.0000,1543490.2500,3469220.5000,-1230263.1250,2925847.7500,-8869915.0000,-1966634.3750,3005599.2500,8910392.0000,-2736501.0000,5232258.0000,3887117.7500,7741768.5000,-1244086.7500,6804424.0000,3466562.2500,-111616.9531,-5448048.5000,-5731963.5000,4392741.5000,-4930728.0000,-1646033.7500,-3664807.2500,2568029.7500,-7106877.5000,-2268626.2500,1227143.1250,1864622.5000,2144815.7500,-4008270.0000,-1208464.3750,-633191.0625,-4857888.0000,-3981154.5000,6970838.5000,329142.4062,-4708487.0000,820411.0000,5503944.5000,1624305.0000,-4296970.0000,5167393.5000,880490.3750,8912519.0000,-4969540.0000,35657.2891,-7026594.5000,4939304.5000,-2244169.2500,-5781941.0000,-8890650.0000,6146740.5000,-125440.5234,5015334.0000
0.0300,5249271.5000,5170583.5000,4505457.0000,-4776010.0000,-4623950.5000,-2743413.0000,2197451.7500,-1770977.6250,-3083153.7500,464719.7812,-178608.1250,1358467.0000,6320598.5000,3550035.2500,-3102294.2500,-2102743.5000,-5310344.5000,1569542.3750,3487297.5000,-1203147.6250,2964128.5000,-8830571.0000,-1924100.2500,3050791.5000,8935381.0000,-2708854.0000,5261500.0000,3917423.5000,7776327.5000,-1197299.2500,6851211.5000,3500589.5000,-82906.4453,-5422528.0000,-5705379.5000,4432617.5000,-4888193.5000,-1593929.5000,-3611639.7500,2600993.7500,-7075508.5000,-2244169.2500,1256917.0000,1899181.5000,2180438.0000,-3970521.0000,-1170715.5000,-600227.1250,-4822797.5000,-3941810.5000,7005929.0000,366359.7188,-4671801.5000,849653.1875,5534781.5000,1656205.6250,-4264006.0000,5193977.5000,921961.1250,8939103.0000,-4937639.5000,69152.8750,-6993630.5000,4971205.0000,-2218117.0000,-5748445.5000,-8828444.0000,6187679.5000,-82906.4453,5046171.5000
0.0320,5225878.0000,5151975.0000,4489506.5000,-4789302.0000,-4637242.5000,-2758299.7500,2195856.7500,-1782142.7500,-3103889.2500,445579.4375,-198811.8125,1337731.7500,6317408.5000,3534085.0000,-3113459.2500,-2120820.2500,-5341181.5000,1554123.7500,3464967.2500,-1216439.6250,2960406.7500,-8843331.0000,-1933670.3750,3046006.5000,8910392.0000,-2725336.0000,5242360.0000,3899878.0000,7756655.5000,-1201021.0000,6846426.0000,3493146.0000,-109490.2422,-5456555.5000,-5730900.0000,4418794.0000,-4897232.0000,-1593397.8750,-3612171.5000,2578663.2500,-7096775.5000,-2268626.2500,1234054.8750,1884826.2500,2174058.0000,-3972647.7500,-1179222.2500,-609265.6250,-4838748.0000,-3957229.0000,6991573.5000,348814.4375,-4690410.0000,831576.1875,5519894.5000,1641850.3750,-4280488.0000,5175368.5000,916644.3125,8921026.0000,-4955716.5000,52670.9180,-7010644.0000,4954191.5000,-2230345.5000,-5761205.5000,-8803455.0000,6184489.5000,-79716.3906,5044044.5000
0.0340,5224283.0000,5158355.0000,4493228.5000,-4786643.5000,-4633521.0000,-2750324.7500,2207553.5000,-1775231.0000,-3098040.7500,451959.5625,-195090.0781,1343580.1250,6331232.0000,3550567.0000,-3104952.5000,-2113908.5000,-5341181.5000,1559972.2500,3467093.7500,-1205274.3750,2974230.2500,-8836951.0000,-1922505.2500,3066742.0000,8906139.0000,-2730652.7500,5244486.5000,3904663.2500,7757187.0000,-1183475.6250,6866630.0000,3497399.5000,-111616.9531,-5467189.0000,-5729305.0000,4429427.5000,-4883940.5000,-1572662.5000,-3593031.0000,2581853.5000,-7095712.0000,-2264904.5000,1240966.6250,1898649.8750,2186818.2500,-3956697.5000,-1167525.3750,-597568.7500,-4825987.5000,-3944468.7500,7008055.5000,361042.9688,-4687752.0000,833702.8750,5525211.5000,1646635.3750,-4277298.0000,5176963.5000,932062.9375,8922089.0000,-4949868.0000,61709.4102,-7008517.5000,4958976.5000,-2230877.2500,-5757484.0000,-8772087.0000,6183426.5000,-69082.8750,5047235.0000
0.0360,5224814.5000,5167393.5000,4499608.5000,-4777073.5000,-4619165.5000,-2733311.0000,2216592.0000,-1763534.1250,-3087407.2500,460998.0625,-182861.5312,1360062.1250,6341865.5000,3568112.2500,-3094319.0000,-2102743.5000,-5350220.0000,1561035.6250,3475600.7500,-1191982.5000,2981142.0000,-8822596.0000,-1906555.0000,3080565.5000,8904544.0000,-2733842.7500,5250335.0000,3915828.2500,7762504.0000,-1168588.7500,6878327.0000,3497931.0000,-110021.9219,-5465594.0000,-5720266.5000,4442719.0000,-4869053.5000,-1551927.1250,-3579739.2500,2586106.7500,-7086673.5000,-2261714.5000,1250536.8750,1916195.1250,2204895.2500,-3939152.0000,-1157955.2500,-587998.6250,-4809505.5000,-3932772.0000,7022411.0000,370081.4688,-4682967.0000,842741.3750,5531591.5000,1650888.8750,-4269854.5000,5184939.0000,952266.6250,8919431.0000,-4942956.5000,70747.8984,-7004795.5000,4963761.5000,-2226624.0000,-5748977.0000,-8740186.0000,6199376.5000,-46220.8086,5061590.0000
0.0380,5207801.0000,5156760.0000,4482595.0000,-4795150.5000,-4633521.0000,-2740222.7500,2210212.0000,-1774167.6250,-3095382.5000,442389.3750,-194026.7188,1343048.5000,6334422.5000,3564390.5000,-3106547.5000,-2118162.0000,-5376272.0000,1546148.6250,3459650.5000,-1201021.0000,2958811.7500,-8835888.0000,-1909745.0000,3072590.2500,8880087.0000,-2748198.0000,5240233.0000,3907321.5000,7746022.0000,-1168057.0000,6874605.0000,3500589.5000,-132352.3125,-5478354.0000,-5729836.5000,4431554.0000,-4874902.0000,-1548737.0000,-3588777.7500,2584511.7500,-7102092.5000,-2275538.0000,1238308.2500,1908751.6250,2197983.5000,-3943937.2500,-1172310.5000,-598100.4375,-4822266.0000,-3946595.5000,7011246.0000,356789.5625,-4701044.0000,823601.0625,5516173.0000,1636001.8750,-4288463.0000,5165267.0000,945354.8125,8899227.0000,-4957843.0000,60646.0586,-7018619.0000,4946216.5000,-2244700.7500,-5761205.5000,-8733806.0000,6192996.5000,-48347.5117,5048830.0000
